3,,,,,,,
class-id,class-name,,,,,,
0,GrassTile,,,,,,
1,StoneTile,,,,,,
2,GrassStoneBoundaryTile,,,,,,
17,,,,,,,
class,id,name,weighted,in-class-weight,,,
0,0,GrassTile0,TRUE,30,,,
0,1,GrassTile1,TRUE,5,,,
0,2,GrassTile2,TRUE,5,,,
0,3,GrassTile3,TRUE,5,,,
0,4,GrassTile4,TRUE,5,,,
1,16,StoneTile0,TRUE,20,,,
1,17,StoneTile1,TRUE,5,,,
1,18,StoneTile2,TRUE,5,,,
1,19,StoneSmallPondTile,TRUE,1,,,
2,32,GrassStoneEdgeTile0,FALSE,,,,
2,33,GrassStoneEdgeTile1,FALSE,,,,
2,34,GrassStoneEdgeTile2,FALSE,,,,
2,35,GrassStoneEdgeTile3,FALSE,,,,
2,36,GrassStoneEdgeTile4,FALSE,,,,
2,37,GrassStoneEdgeTile5,FALSE,,,,
2,38,GrassStoneEdgeTile6,FALSE,,,,
2,39,GrassStoneEdgeTile7,FALSE,,,,
3,,,,,,,
class-id,class-name,weight,,,,,
0,Small,20,,,,,
1,Medium,5,,,,,
2,Large,2,,,,,
9,,,,,,,
class,id,name,in-class-weight,leftrange-min,leftrange-max,rightrange-min,rightrange-max
0,0,BushSmall0,8,-4.45,-1.48,1.48,4.45
0,1,BushSmall1,10,-4.42,-1.58,1.58,4.42
0,2,BushSmall2,12,-4.63,-1.57,1.57,4.63
1,16,BushLarge0,12,-4.48,-1.67,1.67,4.48
1,17,BushLarge1,12,-4.48,-1.69,1.69,4.48
1,18,SmallTree0,8,-4.42,-1.9,1.9,4.42
1,19,MediumPillar0,0,-2,-2,2,2
2,32,Tree0,10,-4.59,-2.6,2.6,4.59
2,33,Tree1,10,-5,-3,3,5
